AAPL,GOOG,TSLA,XRP,SOL,DOGE,ETH,BIT,ADA,CRO,LTC,UNI,BNB
,,,0.6165688,19.81022269,0.05766378,2143.22563228,59384.3133586,1.1965094,0.23070691,213.22838562,30.1756456,339.00772696
,,,0.59091504,22.55227712,0.0558036,2028.4224386,57603.88917376,1.17327738,0.21598311,197.14820308,29.54988535,323.13352019
,,,0.64672914,24.06132316,0.0574037,2093.12285275,58758.55629127,1.19141987,0.22916112,204.04290553,31.06555543,351.62439684
125.9,2225.55,691.05,0.92047305,22.98428282,0.05969593,2107.88709669,59057.87896588,1.2142998,0.24684827,221.06904212,30.79484599,367.77249051
126.21,2224.75,691.62,1.09626562,24.95714641,0.06445823,2118.37895913,58192.35868406,1.25535429,0.23104184,237.66490597,31.32274785,403.5907625
127.9,2249.68,670.97,0.91757616,26.47807994,0.05902847,1971.07725542,56048.93781271,1.17514881,0.18872076,219.42367841,28.59392519,374.65880229
130.36,2265.44,683.8,1.05275643,27.03398715,0.06146385,2088.57365088,58323.95357975,1.21943585,0.20334856,227.00301798,30.22243116,418.03838234
133.0,2285.88,677.02,1.02083654,27.77827443,0.06168375,2072.10887563,58245.00300108,1.20353954,0.21011964,221.86236305,29.56221964,453.17848235
,,,1.37441607,26.84140371,0.06384492,2135.9422007,59793.23541009,1.21875827,0.21518136,255.62019755,29.79238981,472.56034233
,,,1.36053004,27.9318899,0.07464893,2157.65703708,60204.96491379,1.26673468,0.21348582,253.63446683,29.97910154,525.38556899
